section,row_id,scenario,label,classification,amount_usd_m,amount_usd_b,pct,eligible,value_1,value_2,value_3,value_4,value_5,notes,confidence
fpp_reconciliation,FPP-R-EX-L,low,excluded_restricted_public_charitable,,372,,,,,,,,,validation202+scaled_stack_restricted170,
fpp_reconciliation,FPP-R-EX-B,base,excluded_restricted_public_charitable,,976,,,,,,,,,validation446+stack_restricted530,
fpp_reconciliation,FPP-R-EX-H,high,excluded_restricted_public_charitable,,2109,,,,,,,,,validation898+scaled_stack_restricted1211,
fpp_reconciliation,FPP-R-ED-L,low,excluded_debt_no_express_auth,,257,,,,,,,,,,
fpp_reconciliation,FPP-R-ED-B,base,excluded_debt_no_express_auth,,800,,,,,,,,,,
fpp_reconciliation,FPP-R-ED-H,high,excluded_debt_no_express_auth,,1829,,,,,,,,,,
fpp_reconciliation,FPP-R-EL-L,low,eligible_external_monetary_receipts,,472.5,,,,,,,,,,Scaled 0.9/2.8 of 1470,
fpp_reconciliation,FPP-R-EL-B,base,eligible_external_monetary_receipts,,1470,,,,,,,,,,Vehicle eligible sum,
fpp_reconciliation,FPP-R-EL-H,high,eligible_external_monetary_receipts,,3360,,,,,,,,,,Scaled 6.4/2.8 of 1470,
fpp_reconciliation,FPP-R-1-L,low,founder_participation_pool_1pct,,4.725,,1,,,,,,,Exactly 1%,
fpp_reconciliation,FPP-R-1-B,base,founder_participation_pool_1pct,,14.7,,1,,,,,,,Exactly 1%,
fpp_reconciliation,FPP-R-1-H,high,founder_participation_pool_1pct,,33.6,,1,,,,,,,Exactly 1%,
fpp_reconciliation,FPP-R-NET-L,low,net_receipts_for_approved_purposes,,1097.275,,,,,,,,,entering minus FPP,
fpp_reconciliation,FPP-R-NET-B,base,net_receipts_for_approved_purposes,,3231.3,,,,,,,,,,
fpp_reconciliation,FPP-R-NET-H,high,net_receipts_for_approved_purposes,,7264.4,,,,,,,,,,
fpp_reconciliation,FPP-R-ST-L,low,lifecycle_accrued_vested_payable_paid,,4.725,0,0,0,,,,,value_1=accrued; value_2=vested; value_3=payable; value_4=paid. Planning: accrued only.,
fpp_reconciliation,FPP-R-ST-B,base,lifecycle_accrued_vested_payable_paid,,14.7,0,0,0,,,,,value_1=accrued; value_2=vested; value_3=payable; value_4=paid. Planning: accrued only.,
fpp_reconciliation,FPP-R-ST-H,high,lifecycle_accrued_vested_payable_paid,,33.6,0,0,0,,,,,value_1=accrued; value_2=vested; value_3=payable; value_4=paid. Planning: accrued only.,
fpp_reconciliation,FPP-R-VEH-ENT,,V-ENT_eligible,,500,,,,,,,,,preferred200+common250+capped_rr50,
fpp_reconciliation,FPP-R-VEH-OPS,,V-OPS_eligible,,200,,,,,,,,,operator_equity150+strategic50,
fpp_reconciliation,FPP-R-VEH-JUR,,V-JUR_eligible,,100,,,,,,,,,delivery_equity100,
fpp_reconciliation,FPP-R-VEH-DISC,,V-DISC_eligible,,350,,,,,,,,,all_equity_like_layers,
fpp_reconciliation,FPP-R-VEH-EDU,,V-SEC-EDU_eligible,,120,,,,,,,,,common80+strategic40,
fpp_reconciliation,FPP-R-VEH-EMP,,V-SEC-EMP_eligible,,200,,,,,,,,,common100+preferred50+capped_rr50,
fpp_reconciliation,FPP-R-PROFIT,,profit_example_unchanged,,310,,31,31,248,,,,"alloc_base=310; investor=31; contributor=31; ecosystem=248; FPP not in this pie",
fpp_reconciliation,FPP-R-UNITS,,units_eq_accrual,,,,,,,,,,,Units and accrual represent the same FPP entitlement; not separate claims.,
owner_decision_sheet,D-FPP,,founder_participation_pool,provisional_unapproved,,,,,,,,,,"PROVISIONAL: single 1% of Eligible External Monetary Receipts, once at first receipt; accrual/units; no civic authority",
owner_decision_sheet,D-NO-FP,,no_founder_percent_on_profit,provisional_unapproved,,,,,,,,,,PROVISIONAL: no Founder Profit Pool; no second founder % on accounting profit,
owner_decision_sheet,D-MARKER,,founder_allocation_assessed,provisional_unapproved,,,,,,,,,,PROVISIONAL: mandatory provenance marker / lot tracking,
owner_decision_sheet,D-INV,,investor_pool,provisional_unapproved,,,,,,,,,,PROVISIONAL: 10% of eligible distributable commercial profit (lower of profit and cash),
owner_decision_sheet,D-CON,,contributor_pool,provisional_unapproved,,,,,,,,,,PROVISIONAL: 10% of same profit base; fair-value units,
owner_decision_sheet,D-80,,ecosystem_80,provisional_unapproved,,,,,,,,,,PROVISIONAL: 80% ecosystem allocation; continuity reserves line 13% (+1 vs old 79% table),
owner_decision_sheet,D-SUPER,,supersede_10_10_1_79,provisional_unapproved,,,,,,,,,,CONFIRMED: 10/10/1/79 single profit pie is superseded,
owner_decision_sheet,D-ENT,,participating_entities,provisional_unapproved,,,,,,,,,,PROVISIONAL: assessment only by authorized participating entities on eligible external receipts,
owner_decision_sheet,D-LAW,,legal_work,provisional_unapproved,,,,,,,,,,REQUIRED before any promise or payment,
owner_decision_sheet,D-TALK,,exploratory_discussions,provisional_unapproved,,,,,,,,,,Provisional unapproved model only; not terms or entitlement,
