section,row_id,vehicle,scenario,instrument,label,active_users_m,amount_usd_m,amount_usd_b,pct,rpu_usd,margin,irr,moic,payback_years,tv_dependent,confidence,evidence_class,value_1,value_2,value_3,value_4,value_5,notes
scale_scenarios,SC-worldwide_higher-conservative,,conservative,,worldwide_higher,5500,44000,,,8,0.15,,,,,L,adoption_sensitive,440000,19800.0,24200.0,3630.0,,annual $M; op_margin=0.15; inv5=181.5; inv10=363.0; inv15=544.5; contrib same; rem_at_10_10=2904.0
scale_scenarios,SC-worldwide_higher-base,,base,,worldwide_higher,5500,99000,,,18,0.22,,,,,L,adoption_sensitive,825000,44550.0,54450.0,11979.0,,annual $M; op_margin=0.22; inv5=599.0; inv10=1197.9; inv15=1796.8; contrib same; rem_at_10_10=9583.2
scale_scenarios,SC-worldwide_higher-high,,high,,worldwide_higher,5500,220000,,,40,0.3,,,,,L,adoption_sensitive,1375000,99000.0,121000.0,36300.0,,annual $M; op_margin=0.3; inv5=1815.0; inv10=3630.0; inv15=5445.0; contrib same; rem_at_10_10=29040.0
scale_pools_base_rpu,POOL-early_institutional-5,,base,,early_institutional,5,22.0,,0.05,80,,,,,,L,adoption_sensitive,1.1,1.1,19.8,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-early_institutional-10,,base,,early_institutional,5,22.0,,0.1,80,,,,,,L,adoption_sensitive,2.2,2.2,17.6,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-early_institutional-15,,base,,early_institutional,5,22.0,,0.15,80,,,,,,L,adoption_sensitive,3.3,3.3,15.4,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-100m-5,,base,,100m,100,79.2,,0.05,8,,,,,,L,adoption_sensitive,4.0,4.0,71.3,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-100m-10,,base,,100m,100,79.2,,0.1,8,,,,,,L,adoption_sensitive,7.9,7.9,63.4,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-100m-15,,base,,100m,100,79.2,,0.15,8,,,,,,L,adoption_sensitive,11.9,11.9,55.4,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-500m-5,,base,,500m,500,605.0,,0.05,10,,,,,,L,adoption_sensitive,30.2,30.2,544.5,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-500m-10,,base,,500m,500,605.0,,0.1,10,,,,,,L,adoption_sensitive,60.5,60.5,484.0,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-500m-15,,base,,500m,500,605.0,,0.15,10,,,,,,L,adoption_sensitive,90.8,90.8,423.5,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-1b-5,,base,,1b,1000,1452.0,,0.05,12,,,,,,L,adoption_sensitive,72.6,72.6,1306.8,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-1b-10,,base,,1b,1000,1452.0,,0.1,12,,,,,,L,adoption_sensitive,145.2,145.2,1161.6,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-1b-15,,base,,1b,1000,1452.0,,0.15,12,,,,,,L,adoption_sensitive,217.8,217.8,1016.4,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-2b-5,,base,,2b,2000,3388.0,,0.05,14,,,,,,L,adoption_sensitive,169.4,169.4,3049.2,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-2b-10,,base,,2b,2000,3388.0,,0.1,14,,,,,,L,adoption_sensitive,338.8,338.8,2710.4,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-2b-15,,base,,2b,2000,3388.0,,0.15,14,,,,,,L,adoption_sensitive,508.2,508.2,2371.6,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-4b-5,,base,,4b,4000,7744.0,,0.05,16,,,,,,L,adoption_sensitive,387.2,387.2,6969.6,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-4b-10,,base,,4b,4000,7744.0,,0.1,16,,,,,,L,adoption_sensitive,774.4,774.4,6195.2,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-4b-15,,base,,4b,4000,7744.0,,0.15,16,,,,,,L,adoption_sensitive,1161.6,1161.6,5420.8,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-worldwide_higher-5,,base,,worldwide_higher,5500,11979.0,,0.05,18,,,,,,L,adoption_sensitive,599.0,599.0,10781.1,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-worldwide_higher-10,,base,,worldwide_higher,5500,11979.0,,0.1,18,,,,,,L,adoption_sensitive,1197.9,1197.9,9583.2,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_pools_base_rpu,POOL-worldwide_higher-15,,base,,worldwide_higher,5500,11979.0,,0.15,18,,,,,,L,adoption_sensitive,1796.9,1796.9,8385.3,,,Annual distributable at steady scale. value_1=investor pool; value_2=contributor pool; value_3=remainder.
scale_investor_returns,RET-100m-conservative,,conservative,investor_pool_10pct,100m,100,2.0,,,3,,0.0019,0.03,530.3,False,L,adoption_sensitive,,,,,,10% of annual distributable; capital $1050M ENT+DISC; constant-scale annuity (optimistic).
scale_investor_returns,RET-100m-base,,base,investor_pool_10pct,100m,100,7.9,,,8,,0.0075,0.11,132.6,False,L,adoption_sensitive,,,,,,10% of annual distributable; capital $1050M ENT+DISC; constant-scale annuity (optimistic).
scale_investor_returns,RET-100m-high,,high,investor_pool_10pct,100m,100,24.8,,,18,,0.0236,0.35,42.4,False,L,adoption_sensitive,,,,,,10% of annual distributable; capital $1050M ENT+DISC; constant-scale annuity (optimistic).
scale_investor_returns,RET-1b-conservative,,conservative,investor_pool_10pct,1b,1000,41.2,,,5,,0.0393,0.59,25.5,False,L,adoption_sensitive,,,,,,10% of annual distributable; capital $1050M ENT+DISC; constant-scale annuity (optimistic).
scale_investor_returns,RET-1b-base,,base,investor_pool_10pct,1b,1000,145.2,,,12,,0.1383,2.07,7.2,False,L,adoption_sensitive,,,,,,10% of annual distributable; capital $1050M ENT+DISC; constant-scale annuity (optimistic).
scale_investor_returns,RET-1b-high,,high,investor_pool_10pct,1b,1000,462.0,,,28,,0.44,6.6,2.3,False,L,adoption_sensitive,,,,,,10% of annual distributable; capital $1050M ENT+DISC; constant-scale annuity (optimistic).
scale_investor_returns,RET-4b-conservative,,conservative,investor_pool_10pct,4b,4000,231.0,,,7,,0.22,3.3,4.5,False,L,adoption_sensitive,,,,,,10% of annual distributable; capital $1050M ENT+DISC; constant-scale annuity (optimistic).
scale_investor_returns,RET-4b-base,,base,investor_pool_10pct,4b,4000,774.4,,,16,,0.7375,11.06,1.4,False,L,adoption_sensitive,,,,,,10% of annual distributable; capital $1050M ENT+DISC; constant-scale annuity (optimistic).
scale_investor_returns,RET-4b-high,,high,investor_pool_10pct,4b,4000,2376.0,,,36,,2.2629,33.94,0.4,False,L,adoption_sensitive,,,,,,10% of annual distributable; capital $1050M ENT+DISC; constant-scale annuity (optimistic).
meta_maturity_scenarios,MM-meta_ad_scale,,speculative_maturity,,meta_ad_scale,3500,192500,,,55,0.4,,60.5,0.2,False,L,speculative_maturity,42350.0,4235.0,4235.0,,,SPECULATIVE: Meta-scale ad intensity (~$55 RPU) + ~40% margin — not forecast
meta_maturity_scenarios,MM-meta_margin_only,,speculative_maturity,,meta_margin_only,2000,32000,,,16,0.4,,10.06,1.5,False,L,speculative_maturity,7040.0,704.0,704.0,,,SPECULATIVE: base RPU with Meta-like margins
meta_maturity_scenarios,MM-infra_adjusted_lower_margin,,speculative_maturity,,infra_adjusted_lower_margin,2000,32000,,,16,0.18,,4.53,3.3,False,L,speculative_maturity,3168.0,316.8,316.8,,,Public-infrastructure-adjusted lower margin
meta_maturity_scenarios,MM-privacy_contextual_only,,speculative_maturity,,privacy_contextual_only,2000,18000,,,9,0.2,,2.83,5.3,False,L,speculative_maturity,1980.0,198.0,198.0,,,Privacy-restricted contextual advertising only
instrument_returns_by_vehicle,IR-V-OPS-senior_debt,V-OPS,,senior_debt,,,400,,,,,0.07,1.0,10,False,L,contract_backed,,,,,,Availability-payment DSCR; no TV if contracts exist
instrument_returns_by_vehicle,IR-V-OPS-operator_equity,V-OPS,,operator_equity,,,150,,,,,tv_or_scale_dependent,scale_or_tv_dependent,,True,L,adoption_sensitive,,,,,,Infra equity; partial TV/concession terminal
instrument_returns_by_vehicle,IR-V-ENT-senior_debt,V-ENT,,senior_debt,,,150,,,,,0.08,1.0,8,False,L,contract_backed,,,,,,Against contracted MSA backlog
instrument_returns_by_vehicle,IR-V-ENT-preferred_equity,V-ENT,,preferred_equity,,,200,,,,,0.1,scale_or_tv_dependent,,True,L,adoption_sensitive,,,,,,Coupon + residual; partial TV
instrument_returns_by_vehicle,IR-V-ENT-common_equity,V-ENT,,common_equity,,,250,,,,,tv_or_scale_dependent,scale_or_tv_dependent,,True,L,adoption_sensitive,,,,,,Growth equity — TV heavy unless discovery scales
instrument_returns_by_vehicle,IR-V-JUR-senior_contract_debt,V-JUR,,senior_contract_debt,,,150,,,,,0.065,1.0,7,False,L,contract_backed,,,,,,Milestone/receivable finance
instrument_returns_by_vehicle,IR-V-JUR-delivery_equity,V-JUR,,delivery_equity,,,100,,,,,tv_or_scale_dependent,scale_or_tv_dependent,,True,L,adoption_sensitive,,,,,,Thin margin; TV limited
instrument_returns_by_vehicle,IR-V-DISC-capped_rr,V-DISC,,capped_rr,,,50,,,,,0.12,1.96,8,False,L,contract_backed,,,,,,Cap 1.8x; needs ad scale but no uncapped TV
instrument_returns_by_vehicle,IR-V-DISC-common_equity,V-DISC,,common_equity,,,200,,,,,tv_or_scale_dependent,scale_or_tv_dependent,,True,L,adoption_sensitive,,,,,,Ad-scale equity — TV or scale annuity
instrument_returns_by_vehicle,IR-DOC20-PRESERVE,V-ENT,,common_equity_undifferentiated_doc20,,,800,,,,,-0.114,0.31,none_in_15y,True,L-M,prior_finding,,,,,,PRESERVED: doc20 undifferentiated commercial equity without TV remains unattractive. Redesign allocates capital to contract-backed layers first.
attractiveness_thresholds,THR-01,,,,annual_distributable_for_12pct_cash_yield_on_1050m,,1260,,,,,,,,,,,,,,,,"At 10% investor pool, need ~$1.26B/yr distributable for ~12% cash yield on $1.05B ENT+DISC capital"
attractiveness_thresholds,THR-02,,,,users_at_12_rpu_base_margin,900,,,,12,,,,,,,,,,,,,~0.9–1.0B active users at ~$12 commercial RPU and ~22% op margin before 10% pool looks cash-competitive without TV
attractiveness_thresholds,THR-03,,,,years_to_threshold,,,,,,,,,12-20+,,,,,,,,,Path to 1B commercial-active users is multi-decade / speculative; contract-backed vehicles can return earlier
attractiveness_thresholds,THR-04,,,,reassessment_summary,,,,,,,,,,,,,,,,,,"WITH lawful ads/discovery: upside can exceed doc20 $21.3B IF scale materializes (technically possible). WITHOUT contracts, equity still weak. OPS/JUR debt can be attractive sooner. 10%/10% pools viable only after debt/preferred service AND sufficient surplus."
waterfall_redesign,WF-ORDER,,,,revised_waterfall_order,,,,,,,,,,,,,,,,,,1 protected liabilities+essential ops; 2 security/continuity reserves; 3 employee+contractual contributor compensation; 4 senior debt; 5 subordinated debt; 6 preferred return or capped investor recovery; 7 required reinvestment; 8 contributor participation pool (10% hyp); 9 mission-aligned investor surplus pool (10% hyp); 10 public-interest/ecosystem; 11 retained surplus.
waterfall_redesign,WF-START,,,,when_pools_begin,,,,,,,,,,,,,,,,,,Pools begin only when vehicle has positive surplus after steps 1–7; reserves at policy; debt current; preferably after preferred/capped RR progress. Not applied to grants or foundation.
waterfall_redesign,WF-ALT,,,,alternatives_tested,,,,,,,,,,,,,,,,,,Alt A: 10/10 from first positive year — underfunds reinvestment. Alt B preferred: 10/10 after capped recovery progress ≥50%. Alt C: 5/5 until Y10 then 10/10.
investment_stages,S0,,,grants,Validation & institutional formation,,,0.446,,,,,,,,L,,V-G gates,low,impact_concessionary,high,entity+assurance,Pathway; amounts illustrative base. S6 must disclose speculative scale/TV dependence.
investment_stages,S1,,,grants+small_commercial,Contracted demonstrator & technical services,,,0.08,,,,,,,,L,,demo SOWs,emerging,strategic_access,med,first MSA,Pathway; amounts illustrative base. S6 must disclose speculative scale/TV dependence.
investment_stages,S2,,,project_debt+equity,First operator/infrastructure vehicles,,,0.4,,,,,,,,L,,certified ops,availability_pipeline,senior_debt+infra_equity,med,DSCR evidence,Pathway; amounts illustrative base. S6 must disclose speculative scale/TV dependence.
investment_stages,S3,,,procurement+delivery_equity,Initial jurisdiction implementations,,,0.5,,,,,,,,L,,J instruments,milestones,contract_debt,med-high,completed pilots,Pathway; amounts illustrative base. S6 must disclose speculative scale/TV dependence.
investment_stages,S4,,,equity+debt,Enterprise-services commercialization,,,0.5,,,,,,,,L,,product-market,API ARR,preferred+common,med,ARR covenants,Pathway; amounts illustrative base. S6 must disclose speculative scale/TV dependence.
investment_stages,S5,,,mixed,Scaled operator & institutional deployment,,,1.5,,,,,,,,L,,multi-J,multi-stream,mixed,med,portfolio refinance,Pathway; amounts illustrative base. S6 must disclose speculative scale/TV dependence.
investment_stages,S6,,,growth_equity,Commercial discovery at population scale,,,0.5,,,,,,,,L,,policy+consent,ad RPU evidence,common_equity,high,disclose TV/scale dependence,Pathway; amounts illustrative base. S6 must disclose speculative scale/TV dependence.
contributor_participation,CP-01,,,,compensation_layers,,,,,,,,,,,,,,,,,,Salary/contract (step 3); grants/overhead; reimbursed in-kind; deferred contractual; milestones; surplus pool (step 8); commercial equity where lawful
contributor_participation,CP-02,,,,pool_allocation_method,,,,,,,,,,,,,,,,,,10% surplus pool by verified fair-value units × milestones × vesting; individual concentration caps; no civic governance purchase
contributor_participation,CP-03,,,,coexistence_with_capital,,,,,,,,,,,,,,,,,,10%+10% surplus pools coexist with competitive capital ONLY after debt/preferred/capped recovery — else recreates doc20 unattractiveness
readiness_gaps,GAP-01,,,,D6 receiving entity / fiscal pathway unresolved,,,,,,,,,,,,gap,,,,,,Blocks external investor presentation
readiness_gaps,GAP-02,,,,No signed availability-payment or MSA backlog for debt underwriting,,,,,,,,,,,,gap,,,,,,Blocks external investor presentation
readiness_gaps,GAP-03,,,,Securities counsel and offering docs absent,,,,,,,,,,,,gap,,,,,,Blocks external investor presentation
readiness_gaps,GAP-04,,,,Ad/discovery policy not adopted; prohibited-context enforcement unbuilt,,,,,,,,,,,,gap,,,,,,Blocks external investor presentation
readiness_gaps,GAP-05,,,,Transfer-pricing / commons contribution rates unset,,,,,,,,,,,,gap,,,,,,Blocks external investor presentation
readiness_gaps,GAP-06,,,,Independent assurance escrow not stood up (D7),,,,,,,,,,,,gap,,,,,,Blocks external investor presentation
readiness_gaps,GAP-07,,,,No audited vehicle financials,,,,,,,,,,,,gap,,,,,,Blocks external investor presentation
readiness_gaps,GAP-08,,,,Ownership caps / mission lock instruments undrafted,,,,,,,,,,,,gap,,,,,,Blocks external investor presentation
readiness_gaps,GAP-09,,,,External presentation of investable opportunity blocked until evidence gates met,,,,,,,,,,,,gap,,,,,,Blocks external investor presentation
required_conclusions,Q1,,,,genuinely_investable,,,,,,,,,,,,,,,,,,"V-ENT (partial), V-OPS, V-JUR delivery slice, V-DISC (policy-gated), V-SEC-EDU/EMP — NOT foundation/oversight/citizen-core"
required_conclusions,Q2,,,,capital_by_vehicle_base_b,,,,,,,,,,,,,,,,,,ENT 0.70; OPS 0.90; JUR 0.50; DISC 0.35; EDU 0.15; EMP 0.20; sum investable ~2.80
required_conclusions,Q3,,,,supports_contract_debt,,,,,,,,,,,,,,,,,,"Availability payments, hosting SLAs, procurement milestones, MSA backlog — OPS/JUR/ENT debt"
required_conclusions,Q4,,,,supports_commercial_equity,,,,,,,,,,,,,,,,,,"API/ARR growth, discovery/ads at scale, sector SaaS — ENT/DISC/SEC equity"
required_conclusions,Q5,,,,returns_without_TV,,,,,,,,,,,,,,,,,,Senior contract debt ~5.5–9% yield; capped RR if volume; preferred coupons if surplus; common equity weak without scale
required_conclusions,Q6,,,,returns_requiring_TV_or_scale,,,,,,,,,,,,,,,,,,Undifferentiated common equity (doc20); Meta-like maturity; growth equity upside
required_conclusions,Q7,,,,pools_10_10_coexist,,,,,,,,,,,,,,,,,,Yes only as post-contract surplus pools; No if applied early to thin CF
required_conclusions,Q8,,,,when_pools_begin,,,,,,,,,,,,,,,,,,After waterfall 1–7 and debt/preferred current; preferably after capped recovery progress
required_conclusions,Q9,,,,public_risk_sharing,,,,,,,,,,,,,,,,,,"First-loss, guarantees, TA grants, public co-finance on JUR/OPS"
required_conclusions,Q10,,,,evidence_before_external,,,,,,,,,,,,,,,,,,Entity+counsel; signed/procurable contracts; reserve policy; ad policy; audited vehicle model; no undisclosed TV reliance
