section,row_id,scenario,year,label,classification,amount_usd_m,amount_usd_b,pct_of_5y_base,responsible_entity,funding_instrument,repayment_treatment,restrictions,confidence,rationale,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,notes
annual_commercial_cf,CF-base-Y9,base,9,commercial_entity_annual,,1450,,,,,,,L-M,,55,290,380,800,377.0,522.0,185.1,185.1,sec=72.5; tax=105.3; reserve=50.8; reinvest=101.5; debt=35.8; cap_drawn=0; cum_cap=1200
annual_commercial_cf,CF-base-Y10,base,10,commercial_entity_annual,,1850,,,,,,,L-M,,70,370,480,1050,481.0,555.0,332.7,332.7,sec=92.5; tax=158.7; reserve=64.8; reinvest=129.5; debt=35.8; cap_drawn=0; cum_cap=1200
annual_commercial_cf,CF-base-Y11,base,11,commercial_entity_annual,,2200,,,,,,,L-M,,85,450,580,1300,572.0,660.0,402.4,402.4,sec=110.0; tax=188.8; reserve=77.0; reinvest=154.0; debt=35.8; cap_drawn=0; cum_cap=1200
annual_commercial_cf,CF-base-Y12,base,12,commercial_entity_annual,,2600,,,,,,,L-M,,100,540,680,1600,676.0,780.0,482.1,482.1,sec=130.0; tax=223.1; reserve=91.0; reinvest=182.0; debt=35.8; cap_drawn=0; cum_cap=1200
annual_commercial_cf,CF-base-Y13,base,13,commercial_entity_annual,,3000,,,,,,,L-M,,115,640,780,1900,780.0,900.0,597.6,597.6,sec=150.0; tax=257.4; reserve=105.0; reinvest=210.0; debt=0.0; cap_drawn=0; cum_cap=1200
annual_commercial_cf,CF-base-Y14,base,14,commercial_entity_annual,,3400,,,,,,,L-M,,130,750,880,2200,884.0,1020.0,677.3,677.3,sec=170.0; tax=291.7; reserve=119.0; reinvest=238.0; debt=0.0; cap_drawn=0; cum_cap=1200
annual_commercial_cf,CF-base-Y15,base,15,commercial_entity_annual,,3800,,,,,,,L-M,,145,870,1000,2500,988.0,1140.0,757.0,757.0,sec=190.0; tax=326.0; reserve=133.0; reinvest=266.0; debt=0.0; cap_drawn=0; cum_cap=1200
annual_commercial_cf,CF-growth-Y1,growth,1,commercial_entity_annual,,3.6,,,,,,,L,,0,1,2,3,1.4,68.8,0.0,-73.3,sec=6; tax=0.0; reserve=0.3; reinvest=0.4; debt=0.0; cap_drawn=375; cum_cap=375
annual_commercial_cf,CF-growth-Y2,growth,2,commercial_entity_annual,,27.0,,,,,,,L,,2,8,8,20,10.8,144.5,0.0,-138.9,sec=6; tax=0.0; reserve=1.9; reinvest=2.7; debt=0.0; cap_drawn=500; cum_cap=875
annual_commercial_cf,CF-growth-Y3,growth,3,commercial_entity_annual,,108.0,,,,,,,L,,5,25,25,60,43.2,100,0.0,-140.1,sec=12; tax=0.0; reserve=7.6; reinvest=10.8; debt=74.5; cap_drawn=625; cum_cap=1500
annual_commercial_cf,CF-growth-Y4,growth,4,commercial_entity_annual,,270.0,,,,,,,L,,12,60,60,150,86.4,189.0,0.0,-139.3,sec=13.5; tax=0.0; reserve=18.9; reinvest=27.0; debt=74.5; cap_drawn=625; cum_cap=2125
annual_commercial_cf,CF-growth-Y5,growth,5,commercial_entity_annual,,630.0,,,,,,,L,,25,120,120,350,201.6,302.4,0.0,-107.9,sec=31.5; tax=20.8; reserve=44.1; reinvest=63.0; debt=74.5; cap_drawn=375; cum_cap=2500
annual_commercial_cf,CF-growth-Y6,growth,6,commercial_entity_annual,,990.0,,,,,,,L,,40,200,200,600,316.8,475.2,0.0,-127.0,sec=49.5; tax=32.7; reserve=69.3; reinvest=99.0; debt=74.5; cap_drawn=0; cum_cap=2500
annual_commercial_cf,CF-growth-Y7,growth,7,commercial_entity_annual,,1440.0,,,,,,,L,,55,300,320,950,460.8,518.4,0.0,-16.0,sec=72.0; tax=85.5; reserve=100.8; reinvest=144.0; debt=74.5; cap_drawn=0; cum_cap=2500
annual_commercial_cf,CF-growth-Y8,growth,8,commercial_entity_annual,,1980.0,,,,,,,L,,70,420,450,1400,514.8,712.8,158.0,158.0,sec=99.0; tax=143.7; reserve=138.6; reinvest=138.6; debt=74.5; cap_drawn=0; cum_cap=2500
annual_commercial_cf,CF-growth-Y9,growth,9,commercial_entity_annual,,2610.0,,,,,,,L,,90,560,600,2000,678.6,939.6,323.2,323.2,sec=130.5; tax=189.5; reserve=91.4; reinvest=182.7; debt=74.5; cap_drawn=0; cum_cap=2500
annual_commercial_cf,CF-growth-Y10,growth,10,commercial_entity_annual,,3330.0,,,,,,,L,,110,720,800,2800,865.8,999.0,588.8,588.8,sec=166.5; tax=285.7; reserve=116.6; reinvest=233.1; debt=74.5; cap_drawn=0; cum_cap=2500
annual_commercial_cf,CF-growth-Y11,growth,11,commercial_entity_annual,,3960.0,,,,,,,L,,130,900,1000,3600,1029.6,1188.0,714.3,714.3,sec=198.0; tax=339.8; reserve=138.6; reinvest=277.2; debt=74.5; cap_drawn=0; cum_cap=2500
annual_commercial_cf,CF-growth-Y12,growth,12,commercial_entity_annual,,4680.0,,,,,,,L,,145,1100,1200,4500,1216.8,1404.0,857.8,857.8,sec=234.0; tax=401.5; reserve=163.8; reinvest=327.6; debt=74.5; cap_drawn=0; cum_cap=2500
annual_commercial_cf,CF-growth-Y13,growth,13,commercial_entity_annual,,5400.0,,,,,,,L,,160,1300,1400,5500,1404.0,1620.0,1075.7,1075.7,sec=270.0; tax=463.3; reserve=189.0; reinvest=378.0; debt=0.0; cap_drawn=0; cum_cap=2500
annual_commercial_cf,CF-growth-Y14,growth,14,commercial_entity_annual,,6120.0,,,,,,,L,,175,1500,1600,6500,1591.2,1836.0,1219.1,1219.1,sec=306.0; tax=525.1; reserve=214.2; reinvest=428.4; debt=0.0; cap_drawn=0; cum_cap=2500
annual_commercial_cf,CF-growth-Y15,growth,15,commercial_entity_annual,,6840.0,,,,,,,L,,190,1700,1800,7500,1778.4,2052.0,1362.5,1362.5,sec=342.0; tax=586.9; reserve=239.4; reinvest=478.8; debt=0.0; cap_drawn=0; cum_cap=2500
waterfall_15y_cumulative,WF-conservative-public_interest_weighted,conservative,,public_interest_weighted,,1424.3,,,,,,,L,,0.05,0.05,71.22,71.22,448.65,192.28,192.28,128.19,payout_base=eligible_distributable_commercial_cf; sec_topup=192.28; inclusion=128.19
waterfall_15y_cumulative,WF-conservative-owner_working_hypothesis,conservative,,owner_working_hypothesis,,1424.3,,,,,,,L,,0.1,0.1,142.43,142.43,398.8,170.92,170.92,113.94,payout_base=eligible_distributable_commercial_cf; sec_topup=170.92; inclusion=113.94
waterfall_15y_cumulative,WF-conservative-commercial_growth_case,conservative,,commercial_growth_case,,1424.3,,,,,,,L,,0.15,0.15,213.64,213.64,348.95,149.55,149.55,99.7,payout_base=eligible_distributable_commercial_cf; sec_topup=149.55; inclusion=99.7
waterfall_15y_cumulative,WF-base-public_interest_weighted,base,,public_interest_weighted,,3527.5,,,,,,,L,,0.05,0.05,176.38,176.38,1111.16,476.21,476.21,317.47,payout_base=eligible_distributable_commercial_cf; sec_topup=476.21; inclusion=317.47
waterfall_15y_cumulative,WF-base-owner_working_hypothesis,base,,owner_working_hypothesis,,3527.5,,,,,,,L,,0.1,0.1,352.75,352.75,987.7,423.3,423.3,282.2,payout_base=eligible_distributable_commercial_cf; sec_topup=423.3; inclusion=282.2
waterfall_15y_cumulative,WF-base-commercial_growth_case,base,,commercial_growth_case,,3527.5,,,,,,,L,,0.15,0.15,529.12,529.12,864.24,370.39,370.39,246.93,payout_base=eligible_distributable_commercial_cf; sec_topup=370.39; inclusion=246.93
waterfall_15y_cumulative,WF-growth-public_interest_weighted,growth,,public_interest_weighted,,6299.4,,,,,,,L,,0.05,0.05,314.97,314.97,1984.31,850.42,850.42,566.95,payout_base=eligible_distributable_commercial_cf; sec_topup=850.42; inclusion=566.95
waterfall_15y_cumulative,WF-growth-owner_working_hypothesis,growth,,owner_working_hypothesis,,6299.4,,,,,,,L,,0.1,0.1,629.94,629.94,1763.83,755.93,755.93,503.95,payout_base=eligible_distributable_commercial_cf; sec_topup=755.93; inclusion=503.95
waterfall_15y_cumulative,WF-growth-commercial_growth_case,growth,,commercial_growth_case,,6299.4,,,,,,,L,,0.15,0.15,944.91,944.91,1543.35,661.44,661.44,440.96,payout_base=eligible_distributable_commercial_cf; sec_topup=661.44; inclusion=440.96
policy_hypothesis,POL-BASE,,,recommended_payout_calculation_base,,,,,,,,,,,,,,,,,,,"Eligible distributable commercial cash flow AFTER mandatory costs, taxes, security/continuity, employee/contractor compensation, protected reserves, senior debt, and required reinvestment. NOT gross revenue, NOT grants, NOT restricted funds, NOT citizen fee cost-recovery."
policy_hypothesis,POL-WATERFALL-ORDER,,,provisional_payout_waterfall_order,,,,,,,,,,,,,,,,,,,1 taxes/refunds/protected customer funds/mandatory liabilities; 2 essential ops/continuity; 3 security/privacy/IR/DR/insurance; 4 employee & contracted compensation; 5 protected reserves; 6 senior debt/contractual; 7 required maintenance/reinvestment; 8 eligible investor participation; 9 eligible contributor participation; 10 operator/ecosystem; 11 public-interest/inclusion/research; 12 retained surplus
policy_hypothesis,POL-SUSPEND,,,distribution_suspension_triggers,,,,,,,,,,,,,,,,,,,Reduce/suspend/accrue pools when: continuity reserves < policy; restricted-fund breach risk; security incident drawdown; distributable CF < 50% of base trailing 4Q; debt covenant breach; auditor going-concern; mission-lock violation
policy_hypothesis,POL-WATERFALL-REC,,,provisional_percentage_recommendation,,,,,,,,,,,,,,,,,,,"After solvency tests: prefer owner working hypothesis 10%/10% of eligible distributable commercial CF as planning case, with automatic step-down to 5%/5% under stress triggers; 15%/15% only if growth scenario sustained 8+ quarters and reserves above policy. Remainder always explicitly allocated (retained, security top-up, operator/J, public-interest, research/OSS, inclusion). NOT adopted policy."
instrument_returns,INST-equity_common_commercial-conservative-NTV,conservative,,equity_common_commercial,,266.7,,,,,,,L,,7,none,0.37,-0.0968,0.0415,99.7,0,,Common equity commercial entity; residual; mission lock; no civic voting | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-equity_common_commercial-conservative-TV,conservative,15,equity_common_commercial,,266.7,,,,,,,L,,7,15,6.43,0.1695,0.7144,1714.8,1615.1,,Common equity commercial entity; residual; mission lock; no civic voting | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-equity_common_commercial-base-NTV,base,,equity_common_commercial,,800.0,,,,,,,L,,8,none,0.31,-0.1141,0.0386,246.9,0,,Common equity commercial entity; residual; mission lock; no civic voting | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-equity_common_commercial-base-TV,base,15,equity_common_commercial,,800.0,,,,,,,L,,8,15,5.36,0.1517,0.6694,4284.2,4037.3,,Common equity commercial entity; residual; mission lock; no civic voting | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-equity_common_commercial-growth-NTV,growth,,equity_common_commercial,,1666.7,,,,,,,L,,8,none,0.26,-0.1276,0.0331,441.0,0,,Common equity commercial entity; residual; mission lock; no civic voting | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-equity_common_commercial-growth-TV,growth,15,equity_common_commercial,,1666.7,,,,,,,L,,8,15,4.62,0.1376,0.5781,7707.8,7266.8,,Common equity commercial entity; residual; mission lock; no civic voting | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-preferred_equity_commercial-conservative-NTV,conservative,,preferred_equity_commercial,,100.0,,,,,,,L,,7,none,0.36,-0.1013,0.0396,35.6,0,,Preferred from investor-pool share; soft annual cap illustration | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-preferred_equity_commercial-conservative-TV,conservative,15,preferred_equity_commercial,,100.0,,,,,,,L,,7,15,6.41,0.1691,0.7125,641.2,605.6,,Preferred from investor-pool share; soft annual cap illustration | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-preferred_equity_commercial-base-NTV,base,,preferred_equity_commercial,,300.0,,,,,,,L,,8,none,0.29,-0.1185,0.0367,88.2,0,,Preferred from investor-pool share; soft annual cap illustration | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-preferred_equity_commercial-base-TV,base,15,preferred_equity_commercial,,300.0,,,,,,,L,,8,15,5.34,0.1513,0.6676,1602.2,1514.0,,Preferred from investor-pool share; soft annual cap illustration | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-preferred_equity_commercial-growth-NTV,growth,,preferred_equity_commercial,,625.0,,,,,,,L,,8,none,0.22,-0.1467,0.0276,138.1,0,,Preferred from investor-pool share; soft annual cap illustration | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-preferred_equity_commercial-growth-TV,growth,15,preferred_equity_commercial,,625.0,,,,,,,L,,8,15,4.58,0.1365,0.5726,2863.1,2725.0,,Preferred from investor-pool share; soft annual cap illustration | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-convertible_debt-conservative-NTV,conservative,,convertible_debt,,50.0,,,,,,,L,,7,none,0.14,-0.1811,0.0158,7.1,0,,Converts or capped participation; speculative | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-convertible_debt-conservative-TV,conservative,15,convertible_debt,,50.0,,,,,,,L,,7,15,6.2,0.1642,0.6887,309.9,302.8,,Converts or capped participation; speculative | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-convertible_debt-base-NTV,base,,convertible_debt,,150.0,,,,,,,L,,8,none,0.12,-0.1964,0.0147,17.6,0,,Converts or capped participation; speculative | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-convertible_debt-base-TV,base,15,convertible_debt,,150.0,,,,,,,L,,8,15,5.16,0.1467,0.6455,774.6,757.0,,Converts or capped participation; speculative | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-convertible_debt-growth-NTV,growth,,convertible_debt,,312.5,,,,,,,L,,8,none,0.1,-0.2084,0.0126,31.5,0,,Converts or capped participation; speculative | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-convertible_debt-growth-TV,growth,15,convertible_debt,,312.5,,,,,,,L,,8,15,4.46,0.1329,0.5576,1394.0,1362.5,,Converts or capped participation; speculative | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-project_finance_operator_note-conservative-NTV,conservative,,project_finance_operator_note,,250.0,,,,,,,L,,7,none,0.11,-0.1993,0.0127,28.5,0,,Operator SPV notes; availability-payment backed where applicable | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-project_finance_operator_note-conservative-TV,conservative,15,project_finance_operator_note,,250.0,,,,,,,L,,7,15,6.17,0.1635,0.6855,1542.5,1514.0,,Operator SPV notes; availability-payment backed where applicable | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-project_finance_operator_note-base-NTV,base,,project_finance_operator_note,,500.0,,,,,,,L,,8,none,0.14,-0.1815,0.0176,70.5,0,,Operator SPV notes; availability-payment backed where applicable | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-project_finance_operator_note-base-TV,base,15,project_finance_operator_note,,500.0,,,,,,,L,,8,15,5.19,0.1473,0.6485,2593.8,2523.3,,Operator SPV notes; availability-payment backed where applicable | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-project_finance_operator_note-growth-NTV,growth,,project_finance_operator_note,,900.0,,,,,,,L,,8,none,0.14,-0.1819,0.0175,126.0,0,,Operator SPV notes; availability-payment backed where applicable | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-project_finance_operator_note-growth-TV,growth,15,project_finance_operator_note,,900.0,,,,,,,L,,8,15,4.5,0.134,0.5625,4050.0,3924.0,,Operator SPV notes; availability-payment backed where applicable | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-capped_revenue_participation-conservative-NTV,conservative,15,capped_revenue_participation,,100.0,,,,,,,L,,7,15,1.14,0.0138,0.1266,113.9,0,,Hard MOIC cap to be set in counsel-drafted docs (illustrative 1.5–2.0x) | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-capped_revenue_participation-conservative-TV,conservative,15,capped_revenue_participation,,100.0,,,,,,,L,,7,15,7.2,0.1861,0.7995,719.5,605.6,,Hard MOIC cap to be set in counsel-drafted docs (illustrative 1.5–2.0x) | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-capped_revenue_participation-base-NTV,base,,capped_revenue_participation,,300.0,,,,,,,L,,8,none,0.75,-0.0306,0.0938,225.1,0,,Hard MOIC cap to be set in counsel-drafted docs (illustrative 1.5–2.0x) | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-capped_revenue_participation-base-TV,base,15,capped_revenue_participation,,300.0,,,,,,,L,,8,15,5.8,0.1637,0.7246,1739.1,1514.0,,Hard MOIC cap to be set in counsel-drafted docs (illustrative 1.5–2.0x) | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-capped_revenue_participation-growth-NTV,growth,,capped_revenue_participation,,625.0,,,,,,,L,,8,none,0.41,-0.095,0.0509,254.5,0,,Hard MOIC cap to be set in counsel-drafted docs (illustrative 1.5–2.0x) | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-capped_revenue_participation-growth-TV,growth,15,capped_revenue_participation,,625.0,,,,,,,L,,8,15,4.77,0.1427,0.5959,2979.5,2725.0,,Hard MOIC cap to be set in counsel-drafted docs (illustrative 1.5–2.0x) | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-blended_first_loss-conservative-NTV,conservative,,blended_first_loss,,100.0,,,,,,,L,,7,none,0.14,-0.1811,0.0158,14.2,0,,Catalytic below-market; protects senior public capital | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-blended_first_loss-conservative-TV,conservative,15,blended_first_loss,,100.0,,,,,,,L,,7,15,6.2,0.1642,0.6887,619.8,605.6,,Catalytic below-market; protects senior public capital | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-blended_first_loss-base-NTV,base,,blended_first_loss,,200.0,,,,,,,L,,8,none,0.18,-0.1629,0.022,35.3,0,,Catalytic below-market; protects senior public capital | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-blended_first_loss-base-TV,base,15,blended_first_loss,,200.0,,,,,,,L,,8,15,5.22,0.1483,0.6529,1044.6,1009.3,,Catalytic below-market; protects senior public capital | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-blended_first_loss-growth-NTV,growth,,blended_first_loss,,360.0,,,,,,,L,,8,none,0.17,-0.1633,0.0219,63.0,0,,Catalytic below-market; protects senior public capital | Illustrative only. NTV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-blended_first_loss-growth-TV,growth,15,blended_first_loss,,360.0,,,,,,,L,,8,15,4.53,0.135,0.5669,1632.6,1569.6,,Catalytic below-market; protects senior public capital | Illustrative only. TV=terminal value flag. Returns depend on speculative adoption/TV.
instrument_returns,INST-senior_debt-conservative-NTV,conservative,,senior_debt_commercial,,80,,,,,,,L,,3,12,1.0,0.08,0.08,,0,,Debt service taken before distributable pools (~8% illustrative). Senior to equity pools. Mission covenants required.
instrument_returns,INST-senior_debt-base-NTV,base,,senior_debt_commercial,,240,,,,,,,L,,3,12,1.0,0.08,0.08,,0,,Debt service taken before distributable pools (~8% illustrative). Senior to equity pools. Mission covenants required.
instrument_returns,INST-senior_debt-growth-NTV,growth,,senior_debt_commercial,,500,,,,,,,L,,3,12,1.0,0.08,0.08,,0,,Debt service taken before distributable pools (~8% illustrative). Senior to equity pools. Mission covenants required.
instrument_returns,INST-availability_concession,base,,availability_payment_concession,,400,,,,,,,L,,,,,,,,,,Return via government availability payments to operator vehicle — outside commercial-entity CF. Project-finance diligence required.
stress_tests,STRESS-rev_25pct,base,,rev_25pct,,716.3,,,,,,,,,71.63,71.63,suspend_distributions,,,,,,15y cum distributable under revenue shock; sticky costs via frac^1.15
stress_tests,STRESS-rev_50pct,base,,rev_50pct,,1589.4,,,,,,,,,158.94,158.94,reduce_to_5pct_or_accrue,,,,,,15y cum distributable under revenue shock; sticky costs via frac^1.15
stress_tests,STRESS-rev_75pct,base,,rev_75pct,,2534.0,,,,,,,,,253.4,253.4,monitor_stepdown,,,,,,15y cum distributable under revenue shock; sticky costs via frac^1.15
stress_tests,STRESS-launch_delay_2y,base,,launch_delay_2y,,2093.2,,,,,,,,,209.32,209.32,reduce_or_defer,,,,,,Revenue path shifted right
stress_tests,STRESS-launch_delay_5y,base,,launch_delay_5y,,611.1,,,,,,,,,61.11,61.11,defer_accrue,,,,,,Revenue path shifted right
stress_tests,STRESS-no_terminal_value_exit,base,,no_terminal_value_exit,,,,,,,,,,,,,,,,,,,"Without TV, equity payback from 10% distributable pool alone is often beyond Y15 at base — see NTV instrument rows"
stress_tests,STRESS-investor_capital_unavailable,base,,investor_capital_unavailable,,,,,,,,,,,,,,,,,,,"Fall back to grants, procurement, operator self-finance; slower commercial build"
stress_tests,STRESS-in_kind_unavailable,base,,in_kind_unavailable,,,,,,,,,,,,,,,,,,,Critical-path roles must be cash-budgeted; validation cash need rises toward high band
stress_tests,STRESS-security_costs_2x,base,,security_costs_2x,,,,,,,,,,,,,,,,,,,Doubling security reduces distributable; cut pools before security
stress_tests,STRESS-major_jurisdiction_withdrawal,base,,major_jurisdiction_withdrawal,,,,,,,,,,,,,,,,,,,Commercial revenue may drop 15–40%; suspend growth distributions
stress_tests,STRESS-currency_inflation_shock,base,,currency_inflation_shock,,,,,,,,,,,,,,,,,,,USD model; local FX needs explicit rate date; escalate contingency
stress_tests,STRESS-regulatory_block_major_stream,base,,regulatory_block_major_stream,,,,,,,,,,,,,,,,,,,"If APIs/hosting restricted, shift to TA/implementation; lower IRR"
cash_noncash_validation,VAL-MIX-cash_requirement,,,cash_requirement,,410.3,,,,,,,,,0.85,0.92,0.97,,,,,,low/base/high fractions. In-kind is economic value vs cash base; does not auto-reduce cash 1:1. Critical path cash-funded.
cash_noncash_validation,VAL-MIX-in_kind_professional,,,in_kind_professional,,,,,,,,,,,0.08,0.15,0.25,,,,,,low/base/high fractions. In-kind is economic value vs cash base; does not auto-reduce cash 1:1. Critical path cash-funded.
cash_noncash_validation,VAL-MIX-donated_infrastructure,,,donated_infrastructure,,,,,,,,,,,0.01,0.03,0.06,,,,,,low/base/high fractions. In-kind is economic value vs cash base; does not auto-reduce cash 1:1. Critical path cash-funded.
cash_noncash_validation,VAL-MIX-institutional_secondments,,,institutional_secondments,,,,,,,,,,,0.03,0.06,0.12,,,,,,low/base/high fractions. In-kind is economic value vs cash base; does not auto-reduce cash 1:1. Critical path cash-funded.
cash_noncash_validation,VAL-MIX-grants,,,grants,,,,,,,,,,,0.4,0.55,0.7,,,,,,low/base/high fractions. In-kind is economic value vs cash base; does not auto-reduce cash 1:1. Critical path cash-funded.
cash_noncash_validation,VAL-MIX-procurement_revenue,,,procurement_revenue,,,,,,,,,,,0.0,0.02,0.05,,,,,,low/base/high fractions. In-kind is economic value vs cash base; does not auto-reduce cash 1:1. Critical path cash-funded.
cash_noncash_validation,VAL-MIX-private_investment,,,private_investment,,,,,,,,,,,0.0,0.03,0.08,,,,,,low/base/high fractions. In-kind is economic value vs cash base; does not auto-reduce cash 1:1. Critical path cash-funded.
cash_noncash_validation,VAL-MIX-debt,,,debt,,,,,,,,,,,0.0,0.0,0.02,,,,,,low/base/high fractions. In-kind is economic value vs cash base; does not auto-reduce cash 1:1. Critical path cash-funded.
cash_noncash_validation,VAL-MIX-operator_capital,,,operator_capital,,,,,,,,,,,0.0,0.02,0.05,,,,,,low/base/high fractions. In-kind is economic value vs cash base; does not auto-reduce cash 1:1. Critical path cash-funded.
cash_noncash_validation,VAL-MIX-protected_reserves,,,protected_reserves,,,,,,,,,,,0.08,0.094,0.12,,,,,,low/base/high fractions. In-kind is economic value vs cash base; does not auto-reduce cash 1:1. Critical path cash-funded.
cash_noncash_five_year,FY-MIX-cash_requirement,,,cash_requirement,,,30.76,,,,,,,,0.7,0.82,0.9,,,,,,Funding-mix shares; categories overlap and need not sum to 100%.
cash_noncash_five_year,FY-MIX-in_kind_professional,,,in_kind_professional,,,3.75,,,,,,,,0.05,0.1,0.18,,,,,,Funding-mix shares; categories overlap and need not sum to 100%.
cash_noncash_five_year,FY-MIX-donated_infrastructure,,,donated_infrastructure,,,1.13,,,,,,,,0.01,0.03,0.06,,,,,,Funding-mix shares; categories overlap and need not sum to 100%.
cash_noncash_five_year,FY-MIX-institutional_secondments,,,institutional_secondments,,,2.63,,,,,,,,0.03,0.07,0.12,,,,,,Funding-mix shares; categories overlap and need not sum to 100%.
cash_noncash_five_year,FY-MIX-grants,,,grants,,,3.75,,,,,,,,0.05,0.1,0.18,,,,,,Funding-mix shares; categories overlap and need not sum to 100%.
cash_noncash_five_year,FY-MIX-procurement_revenue,,,procurement_revenue,,,16.88,,,,,,,,0.35,0.45,0.55,,,,,,Funding-mix shares; categories overlap and need not sum to 100%.
cash_noncash_five_year,FY-MIX-private_investment,,,private_investment,,,2.81,,,,,,,,0.02,0.075,0.17,,,,,,Funding-mix shares; categories overlap and need not sum to 100%.
cash_noncash_five_year,FY-MIX-debt,,,debt,,,1.5,,,,,,,,0.01,0.04,0.1,,,,,,Funding-mix shares; categories overlap and need not sum to 100%.
cash_noncash_five_year,FY-MIX-operator_capital,,,operator_capital,,,1.5,,,,,,,,0.02,0.04,0.08,,,,,,Funding-mix shares; categories overlap and need not sum to 100%.
cash_noncash_five_year,FY-MIX-protected_reserves,,,protected_reserves,,,4.01,,,,,,,,0.08,0.107,0.15,,,,,,Funding-mix shares; categories overlap and need not sum to 100%.
governance_protections,GOV-01,,,no_investor_ownership_of_citizen_data,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
governance_protections,GOV-02,,,no_investment_linked_civic_voting_power,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
governance_protections,GOV-03,,,no_unilateral_investor_control,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
governance_protections,GOV-04,,,ownership_and_voting_caps_on_commercial_entity,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
governance_protections,GOV-05,,,mission_lock_constitutional,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
governance_protections,GOV-06,,,independent_directors_or_trustees,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
governance_protections,GOV-07,,,reserved_public_interest_matters,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
governance_protections,GOV-08,,,conflict_of_interest_controls,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
governance_protections,GOV-09,,,transparent_related_party_transactions,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
governance_protections,GOV-10,,,independent_valuation_and_audit,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
governance_protections,GOV-11,,,separation_of_commercial_and_public_funds,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
governance_protections,GOV-12,,,no_payout_from_restricted_grants,proposed_mandatory,,,,,,,,,,,,,,,,,,Pending counsel and owner approval
